OBJECTID,stop_UID,stop_agency,stop_id,route_id
1,MTS_10001,MTS,10001,84
2,MTS_10003,MTS,10003,30
3,MTS_10004,MTS,10004,30
4,MTS_10006,MTS,10006,140
5,MTS_10006,MTS,10006,30
6,MTS_10007,MTS,10007,140
7,MTS_10007,MTS,10007,30
8,MTS_10011,MTS,10011,27
9,MTS_10012,MTS,10012,30
10,MTS_10012,MTS,10012,8
11,MTS_10013,MTS,10013,27
12,MTS_10015,MTS,10015,27
13,MTS_10016,MTS,10016,27
14,MTS_10020,MTS,10020,923
15,MTS_10023,MTS,10023,27
16,MTS_10024,MTS,10024,923
17,MTS_10025,MTS,10025,27
18,MTS_10026,MTS,10026,923
19,MTS_10027,MTS,10027,923
20,MTS_10029,MTS,10029,35
21,MTS_10031,MTS,10031,923
22,MTS_10032,MTS,10032,30
23,MTS_10033,MTS,10033,35
24,MTS_10034,MTS,10034,201
25,MTS_10034,MTS,10034,30
26,MTS_10036,MTS,10036,27
27,MTS_10036,MTS,10036,8
28,MTS_10038,MTS,10038,8
29,MTS_10038,MTS,10038,9
30,MTS_10040,MTS,10040,35
31,MTS_10043,MTS,10043,35
32,MTS_10044,MTS,10044,30
33,MTS_10045,MTS,10045,27
34,MTS_10045,MTS,10045,43
35,MTS_10048,MTS,10048,105
36,MTS_10049,MTS,10049,105
37,MTS_10050,MTS,10050,105
38,MTS_10051,MTS,10051,105
39,MTS_10051,MTS,10051,43
40,MTS_10062,MTS,10062,44
41,MTS_10064,MTS,10064,88
42,MTS_10073,MTS,10073,43
43,MTS_10074,MTS,10074,31
44,MTS_10075,MTS,10075,923
45,MTS_10075,MTS,10075,992
46,MTS_10076,MTS,10076,83
47,MTS_10077,MTS,10077,43
48,MTS_10080,MTS,10080,83
49,MTS_10085,MTS,10085,31
50,MTS_10086,MTS,10086,280
51,MTS_10086,MTS,10086,290
52,MTS_10086,MTS,10086,923
53,MTS_10086,MTS,10086,992
54,MTS_10088,MTS,10088,10
55,MTS_10090,MTS,10090,923
56,MTS_10090,MTS,10090,992
57,MTS_10091,MTS,10091,43
58,MTS_10091,MTS,10091,60
59,MTS_10092,MTS,10092,11
60,MTS_10093,MTS,10093,120
61,MTS_10093,MTS,10093,41
62,MTS_10094,MTS,10094,110
63,MTS_10094,MTS,10094,2
64,MTS_10094,MTS,10094,7
65,MTS_10094,MTS,10094,901
66,MTS_10094,MTS,10094,923
67,MTS_10094,MTS,10094,929
68,MTS_10094,MTS,10094,992
69,MTS_10095,MTS,10095,31
70,MTS_10097,MTS,10097,215
71,MTS_10097,MTS,10097,225
72,MTS_10097,MTS,10097,235
73,MTS_10097,MTS,10097,280
74,MTS_10097,MTS,10097,290
75,MTS_10098,MTS,10098,10
76,MTS_10098,MTS,10098,11
77,MTS_10099,MTS,10099,110
78,MTS_10099,MTS,10099,2
79,MTS_10099,MTS,10099,7
80,MTS_10099,MTS,10099,901
81,MTS_10099,MTS,10099,923
82,MTS_10099,MTS,10099,929
83,MTS_10099,MTS,10099,992
84,MTS_10100,MTS,10100,6
85,MTS_10105,MTS,10105,3
86,MTS_10106,MTS,10106,1
87,MTS_10106,MTS,10106,10
88,MTS_10106,MTS,10106,11
89,MTS_10106,MTS,10106,120
90,MTS_10107,MTS,10107,31
91,MTS_10108,MTS,10108,3
92,MTS_10108,MTS,10108,5
93,MTS_10109,MTS,10109,2
94,MTS_10109,MTS,10109,225
95,MTS_10109,MTS,10109,235
96,MTS_10110,MTS,10110,120
97,MTS_10111,MTS,10111,1
98,MTS_10111,MTS,10111,10
99,MTS_10111,MTS,10111,11
100,MTS_10114,MTS,10114,1
101,MTS_10114,MTS,10114,11
102,MTS_10115,MTS,10115,12
103,MTS_10115,MTS,10115,4
104,MTS_10116,MTS,10116,3
105,MTS_10116,MTS,10116,5
106,MTS_10117,MTS,10117,12
107,MTS_10118,MTS,10118,3
108,MTS_10118,MTS,10118,5
109,MTS_10119,MTS,10119,2
110,MTS_10122,MTS,10122,12
111,MTS_10123,MTS,10123,4
112,MTS_10124,MTS,10124,31
113,MTS_10127,MTS,10127,4
114,MTS_10128,MTS,10128,43
115,MTS_10128,MTS,10128,44
116,MTS_10129,MTS,10129,1
117,MTS_10130,MTS,10130,7
118,MTS_10132,MTS,10132,31
119,MTS_10133,MTS,10133,3
120,MTS_10133,MTS,10133,5
121,MTS_10134,MTS,10134,2
122,MTS_10136,MTS,10136,7
123,MTS_10137,MTS,10137,4
124,MTS_10138,MTS,10138,2
125,MTS_10139,MTS,10139,1
126,MTS_10139,MTS,10139,6
127,MTS_10140,MTS,10140,11
128,MTS_10142,MTS,10142,110
129,MTS_10142,MTS,10142,921
130,MTS_10143,MTS,10143,929
131,MTS_10145,MTS,10145,3
132,MTS_10147,MTS,10147,4
133,MTS_10148,MTS,10148,2
134,MTS_10149,MTS,10149,110
135,MTS_10149,MTS,10149,921
136,MTS_10150,MTS,10150,1
137,MTS_10150,MTS,10150,6
138,MTS_10151,MTS,10151,7
139,MTS_10154,MTS,10154,12
140,MTS_10156,MTS,10156,60
141,MTS_10157,MTS,10157,25
142,MTS_10158,MTS,10158,5
